configuration;K;N;test;unknown;true;false;hazard_probability;unavail
IL-PIR-US-MWR-VIP;4;5;Event(T)-TRAFFIC(F)-TEMP(F);0.11549671700031997;0.8845026144075361;6.685921440000005E-7;6.685921440000005E-7;0.11549671700031997;
IL-PIR-US-MWR-VIP;4;5;Event(T)-TRAFFIC(T)-TEMP(F);0.13209036989823997;0.867907093829112;2.5362726480000013E-6;2.5362726480000013E-6;0.13209036989823997;
IL-PIR-US-MWR-VIP;4;5;Event(T)-TRAFFIC(F)-TEMP(T);0.15431339018943996;0.845683023410496;3.586400064000001E-6;3.586400064000001E-6;0.15431339018943996;
IL-PIR-US-MWR;3;4;Event(T)-TRAFFIC(F)-TEMP(F);0.06893763807519998;0.9310485068423999;1.3855082400000004E-5;1.3855082400000004E-5;0.06893763807519998;
IL-PIR-US-MWR;3;4;Event(T)-TRAFFIC(T)-TEMP(F);0.08255229685839999;0.9173958528708;5.185027080000003E-5;5.185027080000003E-5;0.08255229685839999;
IL-PIR-US-MWR;3;4;Event(T)-TRAFFIC(F)-TEMP(T);0.07610883207039999;0.9238652073648;2.5960564800000005E-5;2.5960564800000005E-5;0.07610883207039999;
IL-PIR-US-VIP;3;4;Event(T)-TRAFFIC(F)-TEMP(F);0.07624907300799998;0.923720225886;3.0701106000000006E-5;3.0701106000000006E-5;0.07624907300799998;
IL-PIR-US-VIP;3;4;Event(T)-TRAFFIC(T)-TEMP(F);0.08004503141199999;0.919911103929;4.386465900000002E-5;4.386465900000002E-5;0.08004503141199999;
IL-PIR-US-VIP;3;4;Event(T)-TRAFFIC(F)-TEMP(T);0.10961484896799997;0.890224563996;1.6058703600000006E-4;1.6058703600000006E-4;0.10961484896799997;
IL-PIR-MWR-VIP;3;4;Event(T)-TRAFFIC(F)-TEMP(F);0.07833034467999997;0.92162577681;4.3878510000000004E-5;4.3878510000000004E-5;0.07833034467999997;
IL-PIR-MWR-VIP;3;4;Event(T)-TRAFFIC(T)-TEMP(F);0.09281646405999998;0.907029822645;1.5371329500000005E-4;1.5371329500000005E-4;0.09281646405999998;
IL-PIR-MWR-VIP;3;4;Event(T)-TRAFFIC(F)-TEMP(T);0.11209062628;0.88768546866;2.239050600000001E-4;2.239050600000001E-4;0.11209062628;
IL-US-MWR-VIP;3;4;Event(T)-TRAFFIC(F)-TEMP(F);0.07885783741599997;0.9210938823720001;4.828021200000001E-5;4.828021200000001E-5;0.07885783741599997;
IL-US-MWR-VIP;3;4;Event(T)-TRAFFIC(T)-TEMP(F);0.093381823972;0.906453403074;1.6477295400000002E-4;1.6477295400000002E-4;0.093381823972;
IL-US-MWR-VIP;3;4;Event(T)-TRAFFIC(F)-TEMP(T);0.11271221833599998;0.887045339592;2.4244207200000009E-4;2.4244207200000009E-4;0.11271221833599998;
PIR-US-MWR-VIP;3;4;Event(T)-TRAFFIC(F)-TEMP(F);0.073718434072;0.926259640524;2.1925404000000013E-5;2.1925404000000013E-5;0.073718434072;
PIR-US-MWR-VIP;3;4;Event(T)-TRAFFIC(T)-TEMP(F);0.083840989816;0.916101981972;5.702821200000001E-5;5.702821200000001E-5;0.083840989816;
PIR-US-MWR-VIP;3;4;Event(T)-TRAFFIC(F)-TEMP(T);0.09762241405599999;0.902315308932;6.227701200000003E-5;6.227701200000003E-5;0.09762241405599999;
