configuration;K;N;test;unknown;true;false;hazard_probability;unavail
M-AIR-US;2;3;Event(T)-TRAFFIC(F)-TEMP(F);0.035037441999999995;0.9645128298;4.497282000000001E-4;4.497282000000001E-4;0.035037441999999995;
M-AIR-US;2;3;Event(T)-TRAFFIC(T)-TEMP(F);0.035037441999999995;0.9645128298;4.497282000000001E-4;4.497282000000001E-4;0.035037441999999995;
M-AIR-US;2;3;Event(T)-TRAFFIC(F)-TEMP(T);0.035037441999999995;0.9645128298;4.497282000000001E-4;4.497282000000001E-4;0.035037441999999995;
IL-PIR-US;2;3;Event(T)-TRAFFIC(F)-TEMP(F);0.036297639999999985;0.9630758088;6.265512000000001E-4;6.265512000000001E-4;0.036297639999999985;
IL-PIR-US;2;3;Event(T)-TRAFFIC(T)-TEMP(F);0.03867417999999999;0.9604345932;8.912268000000002E-4;8.912268000000002E-4;0.03867417999999999;
IL-PIR-US;2;3;Event(T)-TRAFFIC(F)-TEMP(T);0.04105071999999999;0.9577933776;0.0011559024000000002;0.0011559024000000002;0.04105071999999999;
M-VIP-MWR;2;3;Event(T)-TRAFFIC(F)-TEMP(F);0.04294449999999999;0.9548644500000001;0.0021910500000000004;0.0021910500000000004;0.04294449999999999;
M-VIP-MWR;2;3;Event(T)-TRAFFIC(T)-TEMP(F);0.048938499999999996;0.94651335;0.004548150000000001;0.004548150000000001;0.048938499999999996;
M-VIP-MWR;2;3;Event(T)-TRAFFIC(F)-TEMP(T);0.058415499999999995;0.93582135;0.0057631500000000025;0.0057631500000000025;0.058415499999999995;
M-AIR-US-MWR;3;4;Event(T)-TRAFFIC(F)-TEMP(F);0.06700514801319998;0.9329852535354;9.598451400000004E-6;9.598451400000004E-6;0.06700514801319998;
M-AIR-US-MWR;3;4;Event(T)-TRAFFIC(T)-TEMP(F);0.07660759549959999;0.9233666709462001;2.5733554200000008E-5;2.5733554200000008E-5;0.07660759549959999;
M-AIR-US-MWR;3;4;Event(T)-TRAFFIC(F)-TEMP(T);0.06700514801319998;0.9329852535354;9.598451400000004E-6;9.598451400000004E-6;0.06700514801319998;
M-PIR-US-VIP;3;4;Event(T)-TRAFFIC(F)-TEMP(F);0.07498375353999999;0.924989933205;2.6313255000000008E-5;2.6313255000000008E-5;0.07498375353999999;
M-PIR-US-VIP;3;4;Event(T)-TRAFFIC(T)-TEMP(F);0.07498375353999999;0.924989933205;2.6313255000000008E-5;2.6313255000000008E-5;0.07498375353999999;
M-PIR-US-VIP;3;4;Event(T)-TRAFFIC(F)-TEMP(T);0.09912146842;0.9008039658150001;7.456576500000005E-5;7.456576500000005E-5;0.09912146842;
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(F)-TEMP(F);0.014324725722159991;0.985614523787466;6.075049037400002E-5;6.075049037400002E-5;0.014324725722159991;
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(T)-TEMP(F);0.016689204183879997;0.983171943901998;1.3885191412200005E-4;1.3885191412200005E-4;0.016689204183879997;
