configuration;K;N;test;hazard_probability;unavail;executiontime(msec);buildtime(msec);
VIP-M-AIR-US-PA;4;5;Event(T);8.476024680000003E-7;0.11904720477471996;491.7482;357.7491;
VIP-M-AIR-US-PA;4;5;Event(T);8.476024680000003E-7;0.11904720477471996;26.8887;304.7702;
VIP-M-AIR-US;4;4;Event(T);6.889050000000003E-8;0.40378279812400003;22.4663;28.8772;
VIP-M-AIR-US;3;4;Event(T);2.169977850000001E-5;0.07420698362799998;19.6726;14.6589;
VIP-M-AIR-PA;4;4;Event(T);2.296350000000001E-7;0.420679479205;18.6004;13.6814;
VIP-M-AIR-PA;3;4;Event(T);5.7448845000000015E-5;0.08140537238499997;22.047901;15.9362;
VIP-M-US-PA;4;4;Event(T);3.936600000000002E-7;0.42359633577999994;18.9827;12.9074;
VIP-M-US-PA;3;4;Event(T);7.244802000000005E-5;0.08275145265999999;17.1555;13.3156;
VIP-AIR-US-PA;4;4;Event(T);1.1022480000000008E-7;0.41295532806640006;15.631801;16.2653;
VIP-AIR-US-PA;3;4;Event(T);3.288256560000001E-5;0.07798536380079998;13.8002;15.7852;
M-AIR-US-PA;4;4;Event(T);5.5112400000000026E-8;0.39750684208119996;13.3316;16.8768;
M-AIR-US-PA;3;4;Event(T);1.766600280000001E-5;0.07180637175639999;13.4563;21.521002;
AIR-US-PA;3;3;Event(T);2.4494400000000005E-6;0.31339572399999993;14.084201;2.8138;
AIR-US-PA;2;3;Event(T);6.787411200000001E-4;0.03742127199999999;13.7431;2.426;
M-US-PA;3;3;Event(T);8.748000000000005E-6;0.32583537999999995;13.7178;2.4199;
M-US-PA;2;3;Event(T);0.0014243040000000004;0.04018563999999998;15.6809;2.3517;
M-AIR-PA;3;3;Event(T);5.103000000000003E-6;0.32242730499999994;10.9793005;2.5286;
M-AIR-PA;2;3;Event(T);0.0011683440000000004;0.03942828999999999;11.5497;3.8214002;
M-AIR-US;3;3;Event(T);1.5309000000000005E-6;0.30266848899999993;13.9812;3.0869;
M-AIR-US;2;3;Event(T);4.497282000000001E-4;0.035037441999999995;13.5065;3.2784;
VIP-US-PA;3;3;Event(T);1.749600000000001E-5;0.34311268;12.6061;4.2127;
VIP-US-PA;2;3;Event(T);0.002459808000000001;0.044025039999999994;12.8024;2.4043;
VIP-AIR-PA;3;3;Event(T);1.0206000000000004E-5;0.33979572999999996;13.1619;2.3072999;
VIP-AIR-PA;2;3;Event(T);0.0021098880000000003;0.04328793999999999;10.4345;2.8963;
VIP-AIR-US;3;3;Event(T);3.0618000000000013E-6;0.320547214;13.386;5.0334;
VIP-AIR-US;2;3;Event(T);8.314164000000003E-4;0.039010491999999994;11.1565;5.2240996;
VIP-M-PA;3;3;Event(T);3.6450000000000025E-5;0.35173675;11.614599;2.7392;
VIP-M-PA;2;3;Event(T);0.003369600000000001;0.04594149999999999;12.8596;3.8662;
VIP-M-US;3;3;Event(T);1.0935000000000006E-5;0.33285565;13.290699;3.3167002;
VIP-M-US;2;3;Event(T);0.0017196300000000004;0.04174569999999999;11.3963;6.9459996;
VIP-M-AIR;3;3;Event(T);6.378750000000003E-6;0.32948402499999996;9.958301;2.7942998;
VIP-M-AIR;2;3;Event(T);0.0014249925000000003;0.04099644999999998;10.1435995;3.1189;
