configuration;K;N;test;hazard_probability;unavail;executiontime(msec);buildtime(msec);
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(F)-TEMP(F);6.075049037400002E-5;0.014324725722159991;473.98108;400.0855;
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(T)-TEMP(F);1.3885191412200005E-4;0.016689204183879997;473.98108;400.0855;
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(F)-TEMP(T);1.6305456832200013E-4;0.01976234482863999;473.98108;400.0855;
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(F)-TEMP(F);6.075049037400002E-5;0.014324725722159991;39.0161;178.90439;
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(T)-TEMP(F);1.3885191412200005E-4;0.016689204183879997;39.0161;178.90439;
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(F)-TEMP(T);1.6305456832200013E-4;0.01976234482863999;39.0161;178.90439;
IL-PIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(F)-TEMP(F);7.831726898400002E-5;0.014801588125119995;28.111399;377.3695;
IL-PIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(T)-TEMP(F);0.003941074310400002;0.0799569437176;28.111399;377.3695;
IL-PIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(F)-TEMP(T);3.5220627230400013E-4;0.02260438457103999;28.111399;377.3695;
IL-PIR-US-MWR-VIP;4;5;Event(T)-TRAFFIC(F)-TEMP(F);6.685921440000005E-7;0.11549671700031997;23.9936;229.27039;
IL-PIR-US-MWR-VIP;4;5;Event(T)-TRAFFIC(T)-TEMP(F);5.1349010400000006E-5;0.4268707839135999;23.9936;229.27039;
IL-PIR-US-MWR-VIP;4;5;Event(T)-TRAFFIC(F)-TEMP(T);3.586400064000001E-6;0.15431339018943996;23.9936;229.27039;
