configuration;K;N;test;hazard_probability;unavail;executiontime(msec);buildtime(msec);
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(F)-TEMP(F);2.3406863014070095E-5;0.11447674777575038;443.131;439.3756;
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(T)-TEMP(F);4.6989708853425265E-5;0.11747145288124992;443.131;439.3756;
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(F)-TEMP(T);5.908317009081027E-5;0.12183311366939131;443.131;439.3756;
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(F)-TEMP(F);2.3406863014070095E-5;0.11447674777575038;33.183;163.61609;
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(T)-TEMP(F);4.6989708853425265E-5;0.11747145288124992;33.183;163.61609;
M-AIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(F)-TEMP(T);5.908317009081027E-5;0.12183311366939131;33.183;163.61609;
IL-PIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(F)-TEMP(F);1.3118870923701493E-5;0.3473216117967068;38.8396;209.79208;
IL-PIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(T)-TEMP(F);3.8534051313416533E-4;0.43344373481978477;38.8396;209.79208;
IL-PIR-US-MWR-VIP;3;5;Event(T)-TRAFFIC(F)-TEMP(T);4.852860190569321E-5;0.36951731481662986;38.8396;209.79208;
IL-PIR-US-MWR-VIP;4;5;Event(T)-TRAFFIC(F)-TEMP(F);6.701608993380609E-8;0.7573225001009607;25.3504;243.9431;
IL-PIR-US-MWR-VIP;4;5;Event(T)-TRAFFIC(T)-TEMP(F);3.8052659267535964E-6;0.8565820243709419;25.3504;243.9431;
IL-PIR-US-MWR-VIP;4;5;Event(T)-TRAFFIC(F)-TEMP(T);3.1929720381775856E-7;0.7776431713433429;25.3504;243.9431;
