configuration;K;N;test;hazard_probability;unavail;executiontime(msec);buildtime(msec);
M-AIR-US;2;3;Event(T);4.497282000000001E-4;0.035037441999999995;620.2442;56.576202;
M-AIR-US;2;3;Event(T);4.497282000000001E-4;0.035037441999999995;20.145899;18.8892;
IL-PIR-US;2;3;Event(T);6.265512000000001E-4;0.036297639999999985;14.812099;14.6858;
M-VIP-MWR;2;3;Event(T);0.0021910500000000004;0.04294449999999999;13.7256;21.0834;
M-AIR-US-MWR;3;4;Event(T);9.598451400000004E-6;0.06700514801319998;18.914;70.0895;
M-PIR-US-VIP;3;4;Event(T);2.6313255000000008E-5;0.07498375353999999;15.6901;44.5911;
M-AIR-US-MWR-VIP;3;5;Event(T);6.075049037400002E-5;0.014324725722159991;22.525501;255.52861;
IL-PIR-US-MWR-VIP;3;5;Event(T);7.831726898400002E-5;0.014801588125119995;19.2647;278.5402;
IL-PIR-US-MWR-VIP;4;5;Event(T);6.685921440000005E-7;0.11549671700031997;18.2824;277.1897;
VIP-IL-M-PRT-AIR-PIR-MWR-US-PA;6;9;Event(T);2.706372173172467E-9;0.01594493442861321;2498.5164;2.762201E7;
VIP-IL-M-PRT-AIR-PIR-MWR-US-PA;7;9;Event(T);1.7623064207994996E-11;0.08376640427830512;2358.6338;1782763.0;
VIP-IL-M-PRT-AIR-PIR-MWR-US-PA;8;9;Event(T);6.371155769637606E-14;0.29651436306034157;2127.9924;2896128.8;
